latitude,longitude,city,region,country,continent
-24.94086411,-51.8722132,Santa Maria do Oeste,Paraná,Brazil,South America
-13.32046327,-46.57150539,Divinópolis de Goiás,Goiás,Brazil,South America
45.28486938,19.13481545,Bačko Novo Selo,South Bačka District,Serbia,Europe
7.008317748,-1.135487356,,,Ghana,Africa
53.94779355,-7.368339321,Bellananagh,Cavan,Ireland,Europe
-31.56551477,23.26475001,Ubuntu NU,Northern Cape,South Africa,Africa
62.26787276,71.5740811,Горный,Khanty-Mansi Autonomous Okrug,Russia,Asia
52.7673824,15.70489913,Gościm,Lubusz Voivodeship,Poland,Europe
-10.13769629,-38.29619025,Jeremoabo,Bahia,Brazil,South America
19.16703741,-90.22266794,Champotón,Campeche,Mexico,North America
-17.28613568,-47.72384443,Campo Alegre de Goiás,Goiás,Brazil,South America
45.70617391,113.6875534,Asgat,Sükhbaatar,Mongolia,Asia
74.11044158,-57.04101478,,,Greenland,North America
-28.92102237,-56.09919089,Itaqui,Rio Grande do Sul,Brazil,South America
54.12772464,50.38180425,Надеждино,Samara,Russia,Asia
-33.26757068,-66.05035469,Fraga,San Luis,Argentina,South America
61.48971357,152.213058,Атка,Magadan,Russia,Asia
52.87308704,18.63809217,Służewo,Kuyavian-Pomeranian Voivodeship,Poland,Europe
-38.93490392,-63.62099336,Caleu Caleu,La Pampa,Argentina,South America
-32.06710472,122.4329057,Fraser Range,Western Australia,Australia,Oceania
-16.7103883,-40.89586267,Joaíma,Minas Gerais,Brazil,South America
45.44176053,27.09637794,Râmnicu Sărat,Buzău,Romania,Europe
-37.27810852,-60.85006382,San Jorge,Buenos Aires Province,Argentina,South America
-29.34606998,145.8624103,Enngonia,New South Wales,Australia,Oceania
6.454779668,-74.02551717,Cimitarra,Santander,Colombia,South America
-5.481198587,-36.91136417,Açu,Rio Grande do Norte,Brazil,South America
15.67148648,80.21530466,Chinaganjam,Andhra Pradesh,India,Asia
-27.95519636,119.4579991,Sandstone,Western Australia,Australia,Oceania
-28.78416214,-49.98234081,São José dos Ausentes,Rio Grande do Sul,Brazil,South America
-1.109477491,-60.45898496,Presidente Figueiredo,Amazonas,Brazil,South America
-5.592944878,-45.15258465,Barra do Corda,Maranhão,Brazil,South America
-51.01029846,-71.1768602,Río Gallegos,Santa Cruz,Argentina,South America
62.10722964,117.6362566,Сунтар,Sakha,Russia,Asia
51.2865315,19.49078378,Parzniewice Duże,Łódź Voivodeship,Poland,Europe
9.176363313,0.018828959,Lamja,Northern,Ghana,Africa
58.7544737,68.94844179,Горнослинкино,Tyumen,Russia,Asia
-22.77372312,29.35571295,Makhado NU,Limpopo,South Africa,Africa
-9.939063735,-57.1301069,Nova Monte Verde,Mato Grosso,Brazil,South America
46.17534472,100.7293926,Bajankhogor,Bayankhongor,Mongolia,Asia
12.73521981,104.9939208,Kampong Svay,Kampong Thom,Cambodia,Asia
52.49800049,43.17354651,Калиновка,Penza,Russia,Asia
53.84231104,20.1475577,Gamerki Wielkie,Warmian-Masurian Voivodeship,Poland,Europe
-31.99212348,145.9754652,Nymagee,New South Wales,Australia,Oceania
61.29312378,48.96903981,Фоминский,Arkhangelsk,Russia,Asia
47.52462721,118.9518714,Khalkhgol,Dornod,Mongolia,Asia
11.16299267,105.9523424,Svay Teab,Svay Rieng,Cambodia,Asia
-28.02818617,118.5398961,Paynesville,Western Australia,Australia,Oceania
46.13844488,113.3814388,Khalzan,Sükhbaatar,Mongolia,Asia
48.6458887,89.97346669,Tolbo,Bayan-Ölgii,Mongolia,Asia
-13.43818891,-43.16446299,Bom Jesus da Lapa,Bahia,Brazil,South America
37.35560141,35.5575917,Imamoglu,Adana,Türkiye,Asia
0.390192843,36.29981723,Githiga,Laikipia,Kenya,Africa
-2.966587552,-47.64174818,Paragominas,Pará,Brazil,South America
-8.159078757,-63.79235908,Canutama,Amazonas,Brazil,South America
-23.44224825,22.55637297,Kang,Kgalagadi,Botswana,Africa
-22.56785418,144.4529412,Muttaburra,Queensland,Australia,Oceania
40.11497407,27.90380883,Manyas,Balıkesir,Türkiye,Asia
-8.141451557,-70.76595729,Tarauacá,Acre,Brazil,South America
63.36035032,46.53619806,Нюхча,Arkhangelsk,Russia,Asia
8.551204198,7.716167787,Nasarawa,Nasarawa,Nigeria,Africa
55.50467763,157.6338917,Эссо,Kamchatka Krai,Russia,Asia
-27.34715848,148.8961122,Wellesley,Queensland,Australia,Oceania
-32.42322059,148.9527302,Comobella,New South Wales,Australia,Oceania
62.57224853,12.57365345,Funäsdalen,Jämtland,Sweden,Europe
14.29576585,-16.03697872,Bak Samba Dior,Kaolack,Senegal,Africa
-6.770644238,-51.03334082,Ourilândia do Norte,Pará,Brazil,South America
-24.97912462,-60.1809635,Pozo del Tigre,Formosa,Argentina,South America
26.31261702,-104.5467449,Mapimí,Durango,Mexico,North America
-20.16702312,25.40310216,Gweta,Central,Botswana,Africa
37.76745676,39.42902,Siverek,Şanlıurfa,Türkiye,Asia
53.27553356,108.8362107,Максимиха,Buryatia,Russia,Asia
-23.49646371,-47.46054193,Sorocaba,São Paulo,Brazil,South America
49.35264406,30.566986,Косяківка,Kyiv Oblast,Ukraine,Europe
1.729011993,-50.87874194,Pracuúba,Amapá,Brazil,South America
0.045833764,37.21106104,Timau,Meru,Kenya,Africa
-50.56253829,-69.32965153,Puerto Santa Cruz,Santa Cruz,Argentina,South America
-33.35791059,142.5727707,Pooncarie,New South Wales,Australia,Oceania
-21.79353671,-54.63441743,Rio Brilhante,Mato Grosso do Sul,Brazil,South America
-16.19484471,-48.07396357,Luziânia,Goiás,Brazil,South America
56.12451277,22.5213535,Mažeikiai,Mažeikiai,Lithuania,Europe
-19.62316987,-50.09245238,Campina Verde,Minas Gerais,Brazil,South America
14.35852801,76.19815623,Chitradurga,Karnataka,India,Asia
36.88587343,-3.020766481,Berja,Almería,Spain,Europe
57.72272313,66.23323954,Нижняя Тавда,Tyumen,Russia,Asia
48.42054517,22.28905407,,,Ukraine,Europe
15.84164141,-91.99234813,Frontera Comalapa,Chiapas,Mexico,North America
8.175055937,8.594919223,Keana,Nasarawa,Nigeria,Africa
-29.9152243,-56.66136478,Uruguaiana,Rio Grande do Sul,Brazil,South America
62.15404846,75.19270501,Когалым,Khanty-Mansi Autonomous Okrug,Russia,Asia
-28.24485952,148.7574898,St George,Queensland,Australia,Oceania
-19.87077415,136.2875021,Tablelands,Northern Territory,Australia,Oceania
-20.8415217,-53.19772561,Ribas do Rio Pardo,Mato Grosso do Sul,Brazil,South America
-12.49329646,-51.76957931,Bom Jesus do Araguaia,Mato Grosso,Brazil,South America
26.96578599,-106.6727785,Balleza,Chihuahua,Mexico,North America
51.24246793,42.67285777,Кардаиловка,Voronezh,Russia,Asia
41.39422396,25.40197731,Чорбаджийско,Kardzhali,Bulgaria,Europe
10.4733872,-74.75131869,Salamina,Magdalena,Colombia,South America
-54.33855233,-66.7094655,Río Grande,Tierra del Fuego,Argentina,South America
-34.17740252,-66.96243538,La Paz,Mendoza,Argentina,South America
56.69404398,21.26261361,Vērgale,South Kurzeme,Latvia,Europe
43.31875721,143.3826911,足寄郡,Hokkaido,Japan,Asia
-31.44640996,-64.12760933,Córdoba,Córdoba,Argentina,South America
21.04336299,-101.342706,Guanajuato,Guanajuato,Mexico,North America
-21.48183238,146.748875,Llanarth,Queensland,Australia,Oceania
-29.32061861,-63.81934913,Villa Ojo de Agua,Santiago del Estero,Argentina,South America
-7.563978179,-49.70098287,Floresta do Araguaia,Pará,Brazil,South America
42.8826004,140.7783046,虻田郡,Hokkaido,Japan,Asia
-10.56618866,-63.62900751,Campo Novo de Rondônia,Rondônia,Brazil,South America
7.379457028,7.622734386,Ankpa,Kogi,Nigeria,Africa
37.79301954,14.29836988,Sperlinga,Enna,Italy,Europe
-23.85353073,-63.28517102,Rivadavia,Salta,Argentina,South America
48.55965224,102.1184548,Khairkhan,Arkhangai,Mongolia,Asia
-28.03707441,28.21447163,Nketoana NU,Free State,South Africa,Africa
-3.1201026,-60.0265781,Manaus,Amazonas,Brazil,South America
15.49457982,103.5717052,Kaset Wisai,Roi Et,Thailand,Asia
45.80861042,11.67696438,Bassano del Grappa,Vicenza,Italy,Europe
42.91345211,132.8070358,Новолитовск,Primorsky Krai,Russia,Asia
-5.318964202,-41.58097757,Castelo do Piauí,Piauí,Brazil,South America
40.68550642,21.81782167,Pyrgi,Western Macedonia,Greece,Europe
47.9264433,22.06537697,Ófehértó,Szabolcs-Szatmár-Bereg,Hungary,Europe
-17.22578914,-62.55544152,Cuatro Cañadas,Santa Cruz,Bolivia,South America
19.74466974,-89.15973035,Tekax,Yucatán,Mexico,North America
56.72669893,9.577344033,Aalestrup,North Denmark Region,Denmark,Europe
-19.11565075,-47.6946785,Nova Ponte,Minas Gerais,Brazil,South America
67.00750783,56.92086728,Хорей-Вер,Nenets Autonomous Okrug,Russia,Asia
-22.13746885,-56.64544974,Bela Vista,Mato Grosso do Sul,Brazil,South America
-28.71205743,25.79856712,Tokologo NU,Free State,South Africa,Africa
19.05084184,83.63782907,Gummalakshmipuram,Andhra Pradesh,India,Asia
54.0367923,122.3477466,Уруша,Amur,Russia,Asia
-27.04862554,-50.64093914,Santa Cecília,Santa Catarina,Brazil,South America
-31.22829871,138.4050985,Flinders Ranges,South Australia,Australia,Oceania
-38.21955946,-64.07052968,Bernasconi,La Pampa,Argentina,South America
41.65990561,75.01379833,,,Kyrgyzstan,Asia
-35.16724995,-66.57061974,Navia,Mendoza,Argentina,South America
49.77551294,17.18817128,Újezd,Olomouc,Czech Republic,Europe
57.30883863,-5.414668908,Kyle,Scotland,United Kingdom,Europe
-19.85212582,142.840926,Saxby,Queensland,Australia,Oceania
-20.10737137,-53.81223519,Ribas do Rio Pardo,Mato Grosso do Sul,Brazil,South America
-18.50365452,133.8747551,Pamayu,Northern Territory,Australia,Oceania
56.96388667,35.01654665,Торжок,Tver,Russia,Asia
51.16969407,17.07387449,Wrocław,Lower Silesian Voivodeship,Poland,Europe
6.26341313,81.0695048,,,Sri Lanka,Asia
-32.37850856,148.9661708,Comobella,New South Wales,Australia,Oceania
-30.96374472,19.37841716,Hantam NU,Northern Cape,South Africa,Africa
-23.69941374,139.6418302,Bedourie,Queensland,Australia,Oceania
37.50918916,38.22114226,Adiyaman,Adıyaman,Türkiye,Asia
-36.82531411,-60.36699088,Olavarría,Buenos Aires Province,Argentina,South America
-5.906991769,-44.07113565,Colinas,Maranhão,Brazil,South America
13.08066041,5.266562403,Kware,Sokoto,Nigeria,Africa
40.78426829,22.47121317,Giannitsa,Central Macedonia,Greece,Europe
54.32064575,44.38127492,Богдановка,Mordovia,Russia,Asia
-7.000584028,112.1287237,Tuban,East Java,Indonesia,Asia
-15.91979708,-51.40767363,Montes Claros de Goiás,Goiás,Brazil,South America
40.64434599,34.90338246,Çorum,Çorum,Türkiye,Asia
-31.85459318,-56.50527294,,,Uruguay,South America
50.77677725,99.52815454,Ulaan-Uul,Khövsgöl,Mongolia,Asia
-15.26601144,-40.5992374,Itambé,Bahia,Brazil,South America
43.36302882,132.2458525,Артем,Primorsky Krai,Russia,Asia
-29.43033313,-56.68831675,Uruguaiana,Rio Grande do Sul,Brazil,South America
-28.52178692,117.8058408,Cooladar Hill,Western Australia,Australia,Oceania
46.58814744,106.5450657,Deren,Dundgovi,Mongolia,Asia
-17.41773951,-47.28391556,Paracatu,Minas Gerais,Brazil,South America
-7.811990749,-63.18604325,Humaitá,Amazonas,Brazil,South America
48.245508,17.92272062,Horná Kráľová,Nitra,Slovakia,Europe
-2.758481145,-43.32910971,Primeira Cruz,Maranhão,Brazil,South America
62.47676786,149.7320448,Ягодное,Magadan,Russia,Asia
-30.8805608,20.43974922,Hantam NU,Northern Cape,South Africa,Africa
-4.17203237,-46.1326418,Santa Luzia,Maranhão,Brazil,South America
55.09909558,68.1881522,Зотино,Kurgan,Russia,Asia
-30.45108257,145.3468592,Louth,New South Wales,Australia,Oceania
-14.54216774,-56.23251665,Diamantino,Mato Grosso,Brazil,South America
23.32311413,77.26877587,Bhopal,Madhya Pradesh,India,Asia
-33.27518733,-64.84741087,Sampacho,Córdoba,Argentina,South America
-12.81410424,-49.89632033,Araguaçu,Tocantins,Brazil,South America
-23.61478294,147.619922,Willows,Queensland,Australia,Oceania
-30.92465725,-69.42423583,Villa Basilio Nievas,San Juan,Argentina,South America
-30.85345956,21.85213066,Kareeberg NU,Northern Cape,South Africa,Africa
-23.70268781,-46.24043779,Mogi das Cruzes,São Paulo,Brazil,South America
0.781174855,36.01642378,Loiyamorock,Baringo,Kenya,Africa
20.93513979,-104.5718188,Amatlán de Cañas,Nayarit,Mexico,North America
-18.0768283,-51.03766713,Rio Verde,Goiás,Brazil,South America
20.17765378,-102.2439546,Ecuandureo,Michoacán,Mexico,North America
24.68014886,-103.2541844,General Simón Bolívar,Durango,Mexico,North America
-22.9091247,22.11392646,Bere,Ghanzi,Botswana,Africa
38.44341279,27.31904002,Bornova,İzmir,Türkiye,Asia
9.227082799,5.635448923,Lavun,Niger,Nigeria,Africa
-2.113850988,37.32733291,Kenyawa-Poka,Kajiado,Kenya,Africa
-27.79883739,-50.86263301,Cerro Negro,Santa Catarina,Brazil,South America
-12.24833639,-56.41941138,Itanhangá,Mato Grosso,Brazil,South America
16.49810204,-14.54946393,,,Senegal,Africa
-8.142069812,-70.28875118,Feijó,Acre,Brazil,South America
46.03472552,17.68366971,Nagydobsza,Baranya County,Hungary,Europe
-30.31559911,135.2932345,Mount Eba,South Australia,Australia,Oceania
28.39256783,-106.9916033,Cuauhtémoc,Chihuahua,Mexico,North America
-6.105986521,-41.78471038,Aroazes,Piauí,Brazil,South America
-17.8110555,-63.1785372,Santa Cruz de la Sierra,Santa Cruz,Bolivia,South America
-5.300176122,-41.16164097,Buriti dos Montes,Piauí,Brazil,South America
12.633353,8.424316368,Kazaure,Jigawa,Nigeria,Africa
-22.09334504,133.4247502,Anmatjere,Northern Territory,Australia,Oceania
62.39332598,30.74040346,Öllölä,North Karelia,Finland,Europe
50.92458679,23.9969708,Bereżnica,Lublin Voivodeship,Poland,Europe
-31.90783692,-56.70952229,Pueblo Cuchilla,Paysandú,Uruguay,South America
47.39232463,17.0187844,Nick,Vas,Hungary,Europe
23.02779669,77.50686386,Goharganj,Madhya Pradesh,India,Asia
-15.62515158,-58.79423215,Figueirópolis d'Oeste,Mato Grosso,Brazil,South America
-21.98729064,142.6988012,Corfield,Queensland,Australia,Oceania
18.51915518,98.77238509,Doi Lo,Chiang Mai,Thailand,Asia
14.42955385,-3.324885623,,,Mali,Africa
-26.46503194,119.3953351,Meekatharra,Western Australia,Australia,Oceania
-7.567148834,-72.99188004,Mâncio Lima,Acre,Brazil,South America
-40.12884333,-66.02546209,Ministro Ramos Mexía,Río Negro,Argentina,South America
-17.74375049,123.5836312,Willare,Western Australia,Australia,Oceania
-51.90749257,-71.40447059,Rio Turbio,Santa Cruz,Argentina,South America
62.58983503,26.33311251,Konnevesi,Central Finland,Finland,Europe
-5.263186284,-36.66204746,Pendências,Rio Grande do Norte,Brazil,South America
18.03604966,-89.06760665,Othón P. Blanco,Quintana Roo,Mexico,North America
-7.216017385,-39.12044548,Missão Velha,Ceará,Brazil,South America
-16.3119538,-46.51299498,Unaí,Minas Gerais,Brazil,South America
-33.99864712,-60.21801208,Viña,Buenos Aires Province,Argentina,South America
39.12547661,42.18766474,Bulanik,Muş,Türkiye,Asia
46.85142859,112.3312244,Uulbajan,Sükhbaatar,Mongolia,Asia
0.277860404,34.69879359,Butsotso,Kakamega,Kenya,Africa
-33.74259564,-54.8510864,Minas,Lavalleja,Uruguay,South America
59.66119591,18.34235109,Vallentuna,Stockholm,Sweden,Europe
-28.22750409,121.0851272,Leinster,Western Australia,Australia,Oceania
31.31574437,-108.7560052,Janos,Chihuahua,Mexico,North America
-15.99759326,142.4981177,Maramie,Queensland,Australia,Oceania
27.81136921,-104.7948858,Camargo,Chihuahua,Mexico,North America
-15.95085808,128.4208271,Durack,Western Australia,Australia,Oceania
-18.88741977,-50.16093597,Santa Vitória,Minas Gerais,Brazil,South America
-41.71866502,-66.31220357,Arroyo Los Berros,Río Negro,Argentina,South America
49.45565326,99.98248295,Burentogtokh,Khövsgöl,Mongolia,Asia
-7.686815157,-72.97707071,Rodrigues Alves,Acre,Brazil,South America
48.38266651,30.35424375,,,Ukraine,Europe
50.36664778,34.34844627,,,Ukraine,Europe
-31.86778377,-57.1684963,Paysandú,Paysandú,Uruguay,South America
-41.87043996,-66.94089287,Cona Niyeu,Río Negro,Argentina,South America
17.39979473,76.16341769,Akkalkot,Maharashtra,India,Asia
-39.97927863,-64.84160962,General Conesa,Río Negro,Argentina,South America
14.69382841,-15.64987483,,,Senegal,Africa
28.21711814,-104.5792527,Camargo,Chihuahua,Mexico,North America
-40.13021014,-64.38444956,General Conesa,Río Negro,Argentina,South America
10.3134576,10.55913801,Kirfi,Bauchi,Nigeria,Africa
-28.44528225,152.2339708,Lower Acacia Creek,New South Wales,Australia,Oceania
-36.09441483,142.8872767,Morton Plains,Victoria,Australia,Oceania
-26.73123036,20.63285469,Mier NU,Kgalagadi,Botswana,Africa
64.20621108,41.57611034,Данилово,Arkhangelsk,Russia,Asia
-13.55702552,-45.13166841,Correntina,Bahia,Brazil,South America
47.1035054,47.78643424,Хошеутово,Astrakhan,Russia,Asia
-21.82104699,28.82309995,Mabolwe,Central,Botswana,Africa
-22.25368811,-63.36672129,Tartagal,Salta,Argentina,South America
-4.747364096,-49.06627238,Jacundá,Pará,Brazil,South America
6.927928268,-2.364829397,Hwidiem,Ahafo,Ghana,Africa
9.011309,-2.476844187,,,Ghana,Africa
16.83397249,-92.88093667,Ixtapa,Chiapas,Mexico,North America
44.84564322,23.8096894,Livezi,Vâlcea,Romania,Europe
-29.85862786,135.1230175,McDouall Peak,South Australia,Australia,Oceania
-10.83155981,-65.24296509,Guajará-Mirim,Rondônia,Brazil,South America
-54.856301,-68.5848333,Ushuaia,Tierra del Fuego,Argentina,South America
41.08955895,14.38462064,Caserta,Caserta,Italy,Europe
45.36263863,16.43056325,Sisak,Sisak-Moslavina,Croatia,Europe
-5.567313022,-42.6027844,Monsenhor Gil,Piauí,Brazil,South America
40.76997636,-2.999794392,Trijueque,Guadalajara,Spain,Europe
-36.93115,149.1325778,Cambalong,New South Wales,Australia,Oceania
-31.68638791,-66.01649323,Ulapes,La Rioja,Argentina,South America
10.70872028,-2.365003863,,,Ghana,Africa
7.221820038,7.501016082,Olamaboro,Kogi,Nigeria,Africa
68.69299997,30.23367432,Верхнетуломский,Murmansk,Russia,Asia
46.54827448,16.72463423,Lasztonya,Zala,Hungary,Europe
4.228645916,-60.99541068,Pacaraima,Roraima,Brazil,South America
42.03005361,25.52485818,Добрич,Haskovo,Bulgaria,Europe
0.852370915,-59.61557811,Caroebe,Roraima,Brazil,South America
-38.13541907,146.0526625,Shady Creek,Victoria,Australia,Oceania
-12.73992362,131.464882,Marrakai,Northern Territory,Australia,Oceania
-8.698628933,118.6469957,Bima,West Nusa Tenggara,Indonesia,Asia
-30.675675,-69.45364048,Angualasto,San Juan,Argentina,South America
-1.550734405,-45.05696829,Apicum-Açu,Maranhão,Brazil,South America
0.89757796,35.31461571,Segero,Uasin Gishu,Kenya,Africa
46.44836822,94.12885814,Darvi,Govi-Altai,Mongolia,Asia
6.938915682,100.6841953,Chana,Songkhla,Thailand,Asia
-28.10522702,-59.99881524,Los Amores,Santa Fe,Argentina,South America
51.52035946,15.50102297,Leśny Dwór,Lubusz Voivodeship,Poland,Europe
-17.33262053,-62.89697957,Okinawa Uno,Santa Cruz,Bolivia,South America
-12.56323094,-58.01686027,Brasnorte,Mato Grosso,Brazil,South America
39.83981443,29.22194862,Keles,Bursa,Türkiye,Asia
30.30534017,-110.6684397,Cucurpe,Sonora,Mexico,North America
-19.68840361,-49.17636432,Comendador Gomes,Minas Gerais,Brazil,South America
-21.19767737,24.7982869,Toromoja,Central,Botswana,Africa
-29.50972607,-68.43345071,Guandacol,La Rioja,Argentina,South America
63.59887464,146.4059083,Сусуман,Magadan,Russia,Asia
56.64471356,10.06071668,Mariager,North Denmark Region,Denmark,Europe
21.83581205,76.48355662,Khandwa,Madhya Pradesh,India,Asia
49.78740563,95.03399303,Baruunturuun,Uvs,Mongolia,Asia
-43.97802232,-70.37103066,José de San Martín,Chubut,Argentina,South America
53.74138618,125.0966284,Талдан,Amur,Russia,Asia
51.44249818,142.7480705,Арги-Паги,Sakhalin,Russia,Asia
-40.57029022,-66.48066398,Ministro Ramos Mexía,Río Negro,Argentina,South America
-37.74099473,141.3173159,Killara,Victoria,Australia,Oceania
-27.31828471,133.6246173,Welbourn Hill,South Australia,Australia,Oceania
66.5753964,-53.49867352,Itilleq,Qeqqata,Greenland,North America
49.11630971,14.62300017,Neplachov,South Bohemian,Czech Republic,Europe
-22.59420623,136.7290256,Anatye,Northern Territory,Australia,Oceania
-37.56951436,-69.07283439,Rincón de los Sauces,Neuquén,Argentina,South America
18.25830096,80.29510771,Tadvai,Telangana,India,Asia
-33.52487705,141.7171154,Anabranch South,New South Wales,Australia,Oceania
43.71820518,23.94570541,Оряхово,Vratsa,Bulgaria,Europe
12.58349028,8.471082938,Makoda,Kano,Nigeria,Africa
-49.73586418,-72.33805737,Comandante Luis Piedrabuena,Santa Cruz,Argentina,South America
-23.85409195,21.1295789,Ukwi,Kgalagadi,Botswana,Africa
-23.27141687,-55.18076894,Amambai,Mato Grosso do Sul,Brazil,South America
54.07175036,22.48464603,Sedranki,Warmian-Masurian Voivodeship,Poland,Europe
36.90960628,34.8873172,Mersin,Mersin,Türkiye,Asia
9.121942671,-1.27466573,Fufulso,Savannah,Ghana,Africa
15.97371129,75.70414678,Badami,Karnataka,India,Asia
-32.34896678,124.8461114,Caiguna,Western Australia,Australia,Oceania
6.884114538,3.104744481,Ewekoro,Ogun,Nigeria,Africa
-33.29798404,-57.2085428,Trinidad,Flores,Uruguay,South America
51.16585836,58.62662119,Орск,Orenburg,Russia,Asia
-15.13980066,-53.53034954,Novo São Joaquim,Mato Grosso,Brazil,South America
50.04415295,29.87092205,,,Ukraine,Europe
42.97877246,26.86698146,Риш,Shumen,Bulgaria,Europe
2.28798475,-59.83827864,Bonfim,Roraima,Brazil,South America
46.04941681,20.10731275,Novi Kneževac,North Banat District,Serbia,Europe
60.8066556,64.81210738,Кондинское,Khanty-Mansi Autonomous Okrug,Russia,Asia
1.410316962,-78.58416978,San Andrés de Tumaco,Nariño,Colombia,South America
-29.24748952,-65.42269468,Recreo,Catamarca,Argentina,South America
-25.61625063,150.2299671,Cockatoo,Queensland,Australia,Oceania
-21.02226273,116.3168847,Mardie,Western Australia,Australia,Oceania
-21.81497816,43.29511834,Befandefa,Atsimo-Andrefana,Madagascar,Africa
-26.83037652,118.3702348,Meekatharra,Western Australia,Australia,Oceania
-27.24865397,-52.59568654,Chapecó,Santa Catarina,Brazil,South America
-21.71159394,-44.45073482,São Vicente de Minas,Minas Gerais,Brazil,South America
-26.46910172,119.4528183,Meekatharra,Western Australia,Australia,Oceania
-33.26729094,-54.42964783,Treinta y Tres,Treinta y Tres,Uruguay,South America
-37.12188978,-62.05322771,Huanguelén,Buenos Aires Province,Argentina,South America
53.42439698,20.33490037,Mogiłowo,Warmian-Masurian Voivodeship,Poland,Europe
-33.07823914,-69.27611868,Cacheuta,Mendoza,Argentina,South America
63.99712282,145.4021257,Артык,Sakha,Russia,Asia
-33.06953247,-57.23935961,Trinidad,Río Negro,Uruguay,South America
